task_id,trial_id,trial_number,source,difficulty,source_sha256,analysis_snapshot_sha256,review_status,review_confidence,math_question,naive_human_strategy,domain_specific_LLM_strategy,reasoner_strategy_label,engineer_failure_label,critic_label,global_graph_pattern,validator_outcome,verification_level,kernel_status,validation_status,validation_error,claim_status,candidate_kind,candidate_event_seq,statement_match,workflow_outcome,submission_source,submission_accepted,symptom_codes,error_labels,incident_count,critical_failure_seq,critical_failure_label,critical_failure_role,recovered_failure_count,first_failure_stage,n_tool_calls,n_check_lean_calls,n_search_lemma_calls,n_failed_compiles,n_infrastructure_unknown_checks,retry_success_rate,perseverated,declared_success,final_proof_compiles,final_proof_sorry_free,statement_preserved,axiom_clean,prohibited_placeholders,anchor_coverage,presentation_takeaway
easy_fatem_011,easy_fatem_011_t0,0,FATE-M,easy,95a7b2665f20110c24fbac70e9435e4ebcb5e704214f85f9907e5a23603fa096,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t1,1,FATE-M,easy,c5708c696f8682f6eab5337294f8f79c7355846a02752ef5e707b283295ab089,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_compile_checked,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,7,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,3,2,1,0,0,none,false,true,true,true,true,true,none,0/10,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t2,2,FATE-M,easy,1fd748ee8d30d487f398cf9679db37e2bc6331c802c7eead756b50df390b173f,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t3,3,FATE-M,easy,28b543c6df31c76120ee1aaf1165d94943314107537cee8409d2b20a1edeeded,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_compile_checked,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,7,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,3,2,1,0,0,none,false,true,true,true,true,true,none,0/10,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t4,4,FATE-M,easy,d268d927fe3c1c950eaee4bede6759c218e9687e1d1fdf510de74a14746bae95,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t5,5,FATE-M,easy,41a0c9dfc604cda59557f568ab5db76b70848891fe519deab58db84ea3232c0a,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t6,6,FATE-M,easy,7df0fe14085f44a7dae63d5c5d48592fea54a23d72fe81ea43030481f899398b,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t7,7,FATE-M,easy,4f1efdfecd292c86fae21e8cb7677f4e2086ee04a345648a93a7e1d599c1fc44,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t8,8,FATE-M,easy,032412808a9281317959ed692413ac1c3c9165bdef27168d44afee1b3ad8e749,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
easy_fatem_011,easy_fatem_011_t9,9,FATE-M,easy,2ffbf5e9dc115f34e5a4e5cd4aa8f2748ba789eab873c5e1edc775e2b8b1b48e,00e3594d0906251d2412e7918e32cb23a06d7f1e2cfd7037c624cba29122cd2c,agent_reviewed,strong,"In any ring R and for any elements a, b, and c in R, left multiplication and right multiplication distribute over subtraction. In other words, a times b minus c equals a times b minus a times c, and b minus c times a...","Expand the ring expression, split the conjunction, and use distributivity.","Use mul_sub and sub_mul, preserve the statement, then check the target.",valid_strategy,no_unrecovered_engineer_failure,critic_approval_without_recheck,direct_success,solved,kernel_verified,available,accepted,,kernel_confirmed,exact_target,4,exact,approved_direct,approved_verified_target,true,,,0,,none,none,0,none,2,1,1,0,0,none,false,true,true,true,true,true,none,0/8,"Kernel-confirmed exact-target, sorry-free, axiom-clean proof. Proposal mapping: O1 localization is partial because raw anchors are absent; O2 labels are agent-reviewed and detector precision/recall is untested; O3 is not tested on this single configuration. Taxonomy: docs/LEAN_FAILURE_ANALYSIS_GUIDE.md. verification=kernel_verified."
